code,ACE
AL081999,32.775
AL082000,0.735
AL082001,10.6275
AL082002,8.5075
AL082003,2.525
AL082004,1.3425
AL082005,7.8275
AL082006,25.3975
AL082007,1.3
AL082008,12.0725
AL082009,0.0
AL082010,3.2
AL082011,1.9575
AL082012,9.59
AL082013,0.0
AL082014,29.3975
AL082015,1.6525
AL082016,0.0
AL082017,8.5825
AL082018,17.0475
AL082019,6.23
AL082020,4.8325
AL082021,8.385
AL082022,5.38
AL082023,33.3025
AL091863,2.79
AL091867,8.98
AL091869,0.25
AL091870,11.04
AL091878,12.36
AL091880,9.32
AL091886,21.7725
AL091887,27.235
AL091888,30.35
AL091889,4.475
AL091891,13.3875
AL091892,6.31
AL091893,66.4775
AL091898,13.2475
AL091899,14.4425
AL091901,3.68
AL091903,3.6625
AL091906,2.1425
AL091908,6.55
AL091909,17.8325
AL091916,1.4975
AL091923,1.5825
AL091924,3.235
AL091926,0.8575
AL091931,0.8475
AL091932,14.4775
AL091933,4.545
AL091934,4.645
AL091936,1.31
AL091937,4.94
AL091938,2.7725
AL091940,5.75
AL091942,1.6575
AL091943,13.9125
AL091944,9.15
AL091945,23.06
AL091947,12.91
AL091948,23.775
AL091949,8.5375
AL091950,6.74
AL091951,20.4175
AL091952,5.5275
AL091953,8.4525
AL091954,0.8475
AL091955,21.7725
AL091956,1.215
AL091958,13.605
AL091959,31.3375
AL091961,20.355
AL091963,2.2175
AL091964,30.6575
AL091965,2.3025
AL091966,58.5175
AL091968,12.02
AL091969,26.4725
AL091970,3.67
AL091971,2.1175
AL091972,0.0
AL091973,5.8175
AL091974,14.3775
AL091975,0.0
AL091976,8.805
AL091977,0.0
AL091978,0.41
AL091979,45.5175
AL091980,2.8075
AL091981,1.5225
AL091984,0.0
AL091985,26.775
AL091986,21.3075
AL091987,0.0
AL091988,31.81
AL091989,0.0
AL091990,3.255
AL091991,1.4025
AL091992,3.2675
AL091993,1.9575
AL091994,0.0
AL091995,22.51
AL091996,12.88
AL091997,1.3375
AL091998,9.92
AL091999,42.6675
AL092000,0.0
AL092001,0.0
AL092002,2.305
AL092003,0.0
AL092004,80.7275
AL092005,13.1375
AL092006,27.95
AL092007,2.4525
AL092008,44.06
AL092009,6.3575
AL092010,0.245
AL092011,22.8475
AL092012,11.585
AL092013,9.465
AL092014,0.3675
AL092015,0.0
AL092016,9.28
AL092017,13.245
AL092018,6.82
AL092019,17.4625
AL092020,12.5375
AL092021,14.615
AL092022,23.88
AL092023,0.82
AL092024,10.3775
AL101869,6.92
AL101870,0.81
AL101878,17.86
AL101880,14.44
AL101886,15.32
AL101887,6.005
AL101891,2.545
AL101893,19.88
AL101898,1.6575
AL101899,2.2725
AL101901,5.59
AL101903,12.7125
AL101906,2.6375
AL101908,2.0825
AL101909,1.8425
AL101916,9.095
AL101924,25.675
AL101926,35.44
AL101931,3.5325
AL101932,1.45
AL101933,0.49
AL101934,5.5325
AL101936,28.6975
AL101937,1.0925
AL101942,2.8775
AL101943,3.0425
AL101944,1.6575
AL101945,5.08
AL101947,14.7075
AL101948,3.455
AL101949,3.525
AL101950,13.825
AL101951,2.9975
AL101952,17.8575
AL101953,14.415
AL101954,2.09
AL101955,33.7775
AL101956,0.7625
AL101958,15.1325
AL101959,0.8475
AL101961,6.7525
AL101963,1.6775
AL101964,20.5225
AL101965,2.75
AL101966,1.0925
AL101968,0.0
AL101970,1.0925
AL101971,0.0
AL101972,13.8525
AL101973,3.97
AL101974,25.6
AL101975,0.0
AL101976,30.295
AL101977,4.1725
AL101978,19.24
AL101979,0.0
AL101980,7.255
AL101981,6.4975
AL101984,16.185
AL101985,1.225
AL101986,3.8
AL101987,4.065
AL101988,0.405
AL101989,39.3375
AL101990,19.655
AL101991,0.0
AL101992,8.4575
AL101993,0.0
AL101994,0.0
AL101995,27.345
AL101996,8.58
AL101998,20.2125
AL101999,2.39
AL102000,8.49
AL102001,9.9425
AL102002,19.5775
AL102003,44.5975
AL102004,0.0
AL102005,0.0
AL102006,7.0875
AL102007,0.0
AL102008,3.07
AL102009,1.215
AL102010,1.94
AL102011,0.0
AL102012,0.245
AL102013,5.2025
AL102015,3.15
AL102016,4.1575
AL102018,2.7875
AL102019,9.9725
AL102020,0.0
AL102021,0.65
AL102022,0.3675
AL102023,15.845
AL102024,11.16
AL111870,7.75
AL111878,15.2
AL111880,5.01
AL111886,3.955
AL111887,2.05
AL111893,2.4225
AL111898,7.5325
AL111901,7.005
AL111906,4.0175
AL111909,17.2125
AL111916,19.9575
AL111924,10.115
AL111926,1.47
AL111931,2.5925
AL111932,6.535
AL111933,19.405
AL111934,2.775
AL111936,2.725
AL111937,3.605
AL111942,9.4825
AL111944,1.8075
AL111945,6.71
AL111949,8.0
AL111950,11.7025
AL111951,6.4975
AL111952,4.2175
AL111953,3.5675
AL111954,0.8475
AL111955,1.6525
AL111956,4.6925
AL111958,2.7625
AL111959,7.1425
AL111961,6.435
AL111964,11.7025
AL111966,11.415
AL111967,8.045
AL111970,0.0
AL111971,6.1475
AL111972,4.89
