code,vws_minus_0_days,vws_minus_3_days,vws_minus_7_days,vws_minus_14_days
AL091863,35.90814263448556,35.90814263448556,35.90814263448556,35.90814263448556
AL011864,31.4520020165199,31.4520020165199,31.4520020165199,31.4520020165199
AL021864,21.96604813355229,21.96604813355229,21.96604813355229,21.96604813355229
AL031864,44.866744830520396,44.866744830520396,44.866744830520396,44.866744830520396
AL041864,39.99749016524828,39.99749016524828,39.99749016524828,39.99749016524828
AL051864,33.269348872895335,33.269348872895335,33.269348872895335,33.269348872895335
AL011865,27.106576542339607,27.106576542339607,27.106576542339607,27.106576542339607
AL021865,34.50850494267912,34.50850494267912,34.50850494267912,34.50850494267912
AL031865,28.1828528753128,28.1828528753128,28.1828528753128,28.1828528753128
AL041865,44.866744830520396,44.866744830520396,44.866744830520396,44.866744830520396
AL051865,36.71502167325118,36.71502167325118,36.71502167325118,36.71502167325118
AL061865,37.04670382282013,37.04670382282013,37.04670382282013,37.04670382282013
AL071865,28.532974356180826,28.532974356180826,28.532974356180826,28.532974356180826
AL011866,23.951740493256292,23.951740493256292,23.951740493256292,23.951740493256292
AL021866,33.15312708033969,33.15312708033969,33.15312708033969,33.15312708033969
AL031866,44.91001542513508,44.91001542513508,44.91001542513508,44.91001542513508
AL041866,36.4590131318717,36.4590131318717,36.4590131318717,36.4590131318717
AL051866,43.008568971691965,43.008568971691965,43.008568971691965,43.008568971691965
AL061866,38.50356677148271,38.50356677148271,38.50356677148271,38.50356677148271
AL071866,31.4520020165199,31.4520020165199,31.4520020165199,31.4520020165199
AL011867,26.98903600248197,26.98903600248197,26.98903600248197,26.98903600248197
AL021867,42.33727883829136,42.33727883829136,42.33727883829136,42.33727883829136
AL031867,22.545897525427833,22.545897525427833,22.545897525427833,22.545897525427833
AL041867,36.42400607370333,36.42400607370333,36.42400607370333,36.42400607370333
AL051867,42.33727883829136,42.33727883829136,42.33727883829136,42.33727883829136
AL061867,36.42400607370333,36.42400607370333,36.42400607370333,36.42400607370333
AL071867,29.998210146599252,29.998210146599252,29.998210146599252,29.998210146599252
AL081867,29.981703562519826,29.981703562519826,29.981703562519826,29.981703562519826
AL091867,51.18561413781831,51.18561413781831,51.18561413781831,51.18561413781831
AL011868,39.925356229852376,39.925356229852376,39.925356229852376,39.925356229852376
AL021868,32.08077675504661,32.08077675504661,32.08077675504661,32.08077675504661
AL031868,15.248413011370499,15.248413011370499,15.248413011370499,15.248413011370499
AL041868,30.106840606923033,30.106840606923033,30.106840606923033,30.106840606923033
AL011869,5.756734284647221,5.756734284647221,5.756734284647221,5.756734284647221
AL021869,31.164234891374562,31.164234891374562,31.164234891374562,31.164234891374562
AL031869,32.36465114104387,32.36465114104387,32.36465114104387,32.36465114104387
AL041869,33.269348872895335,33.269348872895335,33.269348872895335,33.269348872895335
AL051869,16.977716092741055,16.977716092741055,16.977716092741055,16.977716092741055
AL061869,26.972598948165775,26.972598948165775,26.972598948165775,26.972598948165775
AL071869,32.96109735773326,32.96109735773326,32.96109735773326,32.96109735773326
AL081869,38.80470881237469,38.80470881237469,38.80470881237469,38.80470881237469
AL091869,20.608638037667443,20.608638037667443,20.608638037667443,20.608638037667443
AL101869,36.901617454249575,36.901617454249575,36.901617454249575,36.901617454249575
AL011870,30.098023890924843,30.098023890924843,30.098023890924843,30.098023890924843
AL021870,27.130543715658295,27.130543715658295,27.130543715658295,27.130543715658295
AL031870,33.05557893060946,33.05557893060946,33.05557893060946,33.05557893060946
AL041870,39.60111681448172,39.60111681448172,39.60111681448172,39.60111681448172
AL051870,45.46421618128444,45.46421618128444,45.46421618128444,45.46421618128444
AL061870,14.889488883075884,14.889488883075884,14.889488883075884,14.889488883075884
AL071870,38.50356677148271,38.50356677148271,38.50356677148271,38.50356677148271
AL081870,10.750089812150483,10.750089812150483,10.750089812150483,10.750089812150483
AL091870,12.406606220290696,12.406606220290696,12.406606220290696,12.406606220290696
AL101870,16.954162919700757,16.954162919700757,16.954162919700757,16.954162919700757
AL111870,18.060928539515608,18.060928539515608,18.060928539515608,18.060928539515608
AL011871,14.222003737435964,14.222003737435964,14.222003737435964,14.222003737435964
AL021871,18.75748913650375,18.75748913650375,18.75748913650375,18.75748913650375
AL031871,33.269348872895335,33.269348872895335,33.269348872895335,33.269348872895335
AL041871,40.039611843030265,40.039611843030265,40.039611843030265,40.039611843030265
AL051871,44.38594815909659,44.38594815909659,44.38594815909659,44.38594815909659
AL061871,21.96604813355229,21.96604813355229,21.96604813355229,21.96604813355229
AL071871,21.42672757197072,21.42672757197072,21.42672757197072,21.42672757197072
AL081871,33.14737495995631,33.14737495995631,33.14737495995631,33.14737495995631
AL011872,24.509308282624794,24.509308282624794,24.509308282624794,24.509308282624794
AL021872,36.4590131318717,36.4590131318717,36.4590131318717,36.4590131318717
AL031872,38.835398926312365,38.835398926312365,38.835398926312365,38.835398926312365
AL041872,40.385276826772966,40.385276826772966,40.385276826772966,40.385276826772966
AL051872,18.75748913650375,18.75748913650375,18.75748913650375,18.75748913650375
AL011873,14.222003737435964,14.222003737435964,14.222003737435964,14.222003737435964
AL021873,28.7687836176643,28.7687836176643,28.7687836176643,28.7687836176643
AL031873,18.75748913650375,18.75748913650375,18.75748913650375,18.75748913650375
AL041873,9.916182036167632,9.916182036167632,9.916182036167632,9.916182036167632
AL051873,33.15312708033969,33.15312708033969,33.15312708033969,33.15312708033969
AL011874,13.064056014348983,13.064056014348983,13.064056014348983,13.064056014348983
AL021874,41.65985884490147,41.65985884490147,41.65985884490147,41.65985884490147
AL031874,38.50356677148271,38.50356677148271,38.50356677148271,38.50356677148271
AL041874,23.279191106790147,23.279191106790147,23.279191106790147,23.279191106790147
AL051874,37.04670382282013,37.04670382282013,37.04670382282013,37.04670382282013
AL061874,18.690319866552095,18.690319866552095,18.690319866552095,18.690319866552095
AL071874,29.167247138523358,29.167247138523358,29.167247138523358,29.167247138523358
AL011875,31.4520020165199,31.4520020165199,31.4520020165199,31.4520020165199
AL021875,35.95149625565254,35.95149625565254,35.95149625565254,35.95149625565254
AL031875,44.866744830520396,44.866744830520396,44.866744830520396,44.866744830520396
AL041875,24.509308282624794,24.509308282624794,24.509308282624794,24.509308282624794
AL051875,33.63704814683222,33.63704814683222,33.63704814683222,33.63704814683222
AL061875,26.972598948165775,26.972598948165775,26.972598948165775,26.972598948165775
AL011876,42.557742964765005,42.557742964765005,42.557742964765005,42.557742964765005
AL021876,42.33727883829136,42.33727883829136,42.33727883829136,42.33727883829136
AL031876,39.82500518227941,39.82500518227941,39.82500518227941,39.82500518227941
AL041876,38.09600886565029,38.09600886565029,38.09600886565029,38.09600886565029
AL051876,27.106576542339607,27.106576542339607,27.106576542339607,27.106576542339607
AL011877,24.128318492164613,24.128318492164613,24.128318492164613,24.128318492164613
AL021877,24.509308282624794,24.509308282624794,24.509308282624794,24.509308282624794
AL031877,48.52152260752456,48.52152260752456,48.52152260752456,48.52152260752456
AL041877,42.14417876277745,42.14417876277745,42.14417876277745,42.14417876277745
AL051877,24.437608631472166,24.437608631472166,24.437608631472166,24.437608631472166
AL061877,47.86282342855198,47.86282342855198,47.86282342855198,47.86282342855198
AL071877,32.08077675504661,32.08077675504661,32.08077675504661,32.08077675504661
AL081877,13.137366631177677,13.137366631177677,13.137366631177677,13.137366631177677
AL011878,16.977716092741055,16.977716092741055,16.977716092741055,16.977716092741055
