code,name,formation_datetime,formation_lat,formation_lon,ACE,rhum_minus_0_days,rhum_minus_3_days,rhum_minus_7_days,rhum_minus_14_days,sst_minus_0_days,sst_minus_3_days,sst_minus_7_days,sst_minus_14_days,vws_minus_0_days,vws_minus_3_days,vws_minus_7_days,vws_minus_14_days
AL181967,EDITH,1967-09-26 12:00:00,12.5,313.0,1.375,69.07327270507812,67.06049346923828,57.45403289794922,40.4880256652832,28.03300094604492,28.03300094604492,28.03300094604492,28.03300094604492,39.611651156864006,39.611651156864006,39.611651156864006,39.611651156864006
AL171967,UNNAMED,1967-09-26 12:00:00,15.4,338.5,0.0,70.08042907714844,68.69192504882812,77.7441177368164,75.41741943359375,27.06300163269043,27.06300163269043,27.06300163269043,27.06300163269043,26.354929600468218,26.354929600468218,26.354929600468218,26.354929600468218
AL191967,FERN,1967-10-01 18:00:00,20.3,267.0,3.33,77.68350982666016,74.64049530029297,76.09007263183594,64.74523162841797,27.378002166748047,28.47300148010254,28.47300148010254,28.47300148010254,21.42672757197072,21.42672757197072,21.42672757197072,21.42672757197072
AL211967,GINGER,1967-10-05 12:00:00,16.5,341.7,1.1725,79.12686157226562,53.02766418457031,55.864627838134766,71.69818115234375,27.593000411987305,27.593000411987305,27.89000129699707,27.89000129699707,22.03277900057821,22.03277900057821,22.03277900057821,22.03277900057821
AL231967,UNNAMED,1967-10-14 06:00:00,27.0,288.5,3.6025,65.96666717529297,59.40666961669922,58.45008087158203,56.780242919921875,26.915000915527344,26.915000915527344,26.915000915527344,28.09800148010254,33.269348872895335,33.269348872895335,33.269348872895335,33.269348872895335
AL241967,UNNAMED,1967-10-15 12:00:00,15.5,317.5,0.0,63.988433837890625,60.91747283935547,38.497371673583984,66.80638885498047,27.01300048828125,27.01300048828125,27.01300048828125,27.01300048828125,38.80470881237469,38.80470881237469,38.80470881237469,38.80470881237469
AL251967,HEIDI,1967-10-19 12:00:00,20.5,306.0,20.125,42.537994384765625,29.125579833984375,34.14109420776367,54.070743560791016,27.660001754760746,27.660001754760746,27.660001754760746,27.660001754760746,46.23585129391597,46.23585129391597,46.23585129391597,46.23585129391597
AL011968,ABBY,1968-06-01 06:00:00,17.0,274.5,5.825,84.4235610961914,70.4590072631836,65.59523010253906,49.50754165649414,28.38000106811523,27.73000144958496,27.73000144958496,27.73000144958496,18.060928539515608,18.060928539515608,18.060928539515608,18.060928539515608
AL021968,BRENDA,1968-06-18 00:00:00,25.0,278.7,7.625,81.78982543945312,73.64700317382812,58.87607192993164,50.010135650634766,28.22300148010254,28.22300148010254,28.22300148010254,28.22300148010254,11.79244967907921,11.79244967907921,11.79244967907921,11.79244967907921
AL031968,CANDY,1968-06-22 06:00:00,20.0,265.0,1.4125,78.0076904296875,82.85678100585938,64.33782196044922,45.37119674682617,28.47800064086914,28.47800064086914,28.47800064086914,28.47800064086914,23.279191106790147,23.279191106790147,23.279191106790147,23.279191106790147
AL051968,DOLLY,1968-08-10 06:00:00,25.9,280.0,8.26,69.7883529663086,43.59816360473633,64.03762817382812,51.557762145996094,29.440000534057617,29.440000534057617,29.440000534057617,28.71000099182129,14.222003737435964,14.222003737435964,14.222003737435964,14.222003737435964
AL061968,UNNAMED,1968-08-26 12:00:00,26.6,273.0,0.0,59.53193283081055,61.18523406982422,54.428558349609375,42.509254455566406,29.76000213623047,29.76000213623047,29.76000213623047,29.76000213623047,23.951740493256292,23.951740493256292,23.951740493256292,23.951740493256292
AL161968,UNNAMED,1968-09-10 00:00:00,32.0,282.0,5.0875,61.89418029785156,65.67186737060547,38.90471267700195,72.0775375366211,28.03300094604492,28.03300094604492,28.03300094604492,28.97800064086914,34.689480940940555,34.689480940940555,34.689480940940555,34.689480940940555
AL081968,EDNA,1968-09-13 18:00:00,14.5,330.0,3.0475,69.69108581542969,60.633113861083984,64.24393463134766,49.32493209838867,26.733001708984375,26.733001708984375,26.733001708984375,25.953001022338867,36.4590131318717,36.4590131318717,36.4590131318717,36.4590131318717
AL091968,UNNAMED,1968-09-14 12:00:00,31.9,287.0,12.02,54.6185302734375,67.31169128417969,57.59062576293945,67.66712188720703,27.748001098632812,27.748001098632812,27.748001098632812,28.490001678466797,39.99749016524828,39.99749016524828,39.99749016524828,39.99749016524828
AL101968,UNNAMED,1968-09-18 12:00:00,12.6,332.2,0.0,85.31578826904297,61.11910629272461,70.13111877441406,70.7633285522461,27.310001373291016,27.310001373291016,27.310001373291016,27.310001373291016,37.42691196089216,37.42691196089216,37.42691196089216,37.42691196089216
AL121968,FRANCES,1968-09-23 12:00:00,26.4,286.5,2.5675,74.60720825195312,73.14315032958984,68.00477600097656,55.56779861450195,29.180002212524418,29.180002212524418,29.180002212524418,29.180002212524418,33.269348872895335,33.269348872895335,33.269348872895335,33.269348872895335
AL131968,UNNAMED,1968-09-25 18:00:00,20.0,275.0,0.0,83.75198364257812,71.55034637451172,67.35153198242188,53.41549301147461,29.315000534057617,29.315000534057617,29.315000534057617,29.315000534057617,12.406606220290696,12.406606220290696,12.406606220290696,12.406606220290696
AL141968,GLADYS,1968-10-13 12:00:00,14.0,279.5,13.1625,75.41814422607422,61.85197067260742,61.685020446777344,66.80076599121094,28.645000457763672,28.645000457763672,28.645000457763672,28.590002059936523,22.278244091267744,22.278244091267744,22.278244091267744,22.278244091267744
AL151968,UNNAMED,1968-11-24 18:00:00,25.0,288.2,0.0,63.65645980834961,79.75161743164062,12.353888511657717,56.71961212158203,26.59800148010254,26.59800148010254,26.59800148010254,26.59800148010254,30.106840606923033,30.106840606923033,30.106840606923033,30.106840606923033
AL031969,UNNAMED,1969-06-08 00:00:00,19.0,277.6,0.0,78.33441925048828,70.47059631347656,79.27301025390625,64.72611236572266,29.218002319335938,29.218002319335938,29.218002319335938,28.715002059936523,11.12045503961592,11.12045503961592,11.12045503961592,11.12045503961592
AL061969,ANNA,1969-07-25 06:00:00,9.0,333.0,6.48,85.0680923461914,87.20895385742188,85.35478210449219,80.79486846923828,27.15800094604492,27.15800094604492,27.15800094604492,27.15800094604492,39.44677569268352,39.44677569268352,39.44677569268352,39.44677569268352
AL051969,UNNAMED,1969-07-25 12:00:00,11.0,305.0,0.0,68.12866973876953,50.21893310546875,66.34304809570312,59.45281600952149,28.373001098632812,28.373001098632812,28.373001098632812,28.373001098632812,38.948136249656336,38.948136249656336,38.948136249656336,38.948136249656336
AL301969,UNNAMED,1969-08-07 12:00:00,22.0,264.5,0.0,77.59519958496094,62.43720245361328,58.77743911743164,70.61616516113281,29.85500144958496,29.85500144958496,29.365001678466797,29.365001678466797,28.55025892834592,28.55025892834592,28.55025892834592,28.55025892834592
AL071969,BLANCHE,1969-08-10 18:00:00,26.3,288.3,3.645,49.11293411254883,51.84341049194336,55.40312957763672,49.13042068481445,28.698001861572266,28.698001861572266,28.698001861572266,28.595001220703125,33.269348872895335,33.269348872895335,33.269348872895335,33.269348872895335
AL091969,CAMILLE,1969-08-14 00:00:00,18.3,280.3,26.4725,77.40119171142578,65.27366638183594,55.77522659301758,67.39529418945312,29.643001556396484,29.643001556396484,29.643001556396484,29.63300132751465,15.2484130113705,15.2484130113705,15.2484130113705,15.2484130113705
AL081969,DEBBIE,1969-08-14 12:00:00,13.0,324.5,29.2075,58.753658294677734,47.6553955078125,49.211612701416016,57.88231658935547,27.108001708984375,27.108001708984375,27.108001708984375,26.295001983642575,38.50356677148271,38.50356677148271,38.50356677148271,38.50356677148271
AL121969,EVE,1969-08-24 18:00:00,29.4,280.8,1.3325,87.4593505859375,36.16902923583984,61.76443862915039,48.30415725708008,28.965002059936523,28.965002059936523,28.965002059936523,28.965002059936523,26.98903600248197,26.98903600248197,26.98903600248197,26.98903600248197
AL131969,FRANCELIA,1969-08-29 00:00:00,12.0,298.0,9.4075,61.39308166503906,58.79898834228515,51.6749267578125,50.24373626708984,28.865001678466797,28.865001678466797,28.865001678466797,28.865001678466797,35.62351483198271,35.62351483198271,35.62351483198271,35.62351483198271
AL161969,GERDA,1969-09-07 00:00:00,26.3,279.6,6.8725,72.00331115722656,60.37322998046875,80.37516784667969,51.618656158447266,,,,,19.595736754466603,19.595736754466603,19.595736754466603,19.595736754466603
AL151969,UNNAMED,1969-09-07 12:00:00,18.0,332.5,0.0,76.02790832519531,62.9141845703125,52.85485076904297,62.932857513427734,26.13000106811523,26.13000106811523,25.498001098632812,25.498001098632812,28.61634092898939,28.61634092898939,28.61634092898939,28.61634092898939
AL171969,HOLLY,1969-09-13 18:00:00,11.2,313.5,4.6275,71.48775482177734,74.42536163330078,59.04025650024414,72.03765869140625,28.790000915527344,28.790000915527344,28.790000915527344,28.200000762939453,33.815241387721386,33.815241387721386,33.815241387721386,33.815241387721386
AL191969,UNNAMED,1969-09-19 12:00:00,24.0,274.6,0.0,63.574256896972656,47.94500732421875,64.44830322265625,73.09501647949219,29.0830020904541,29.0830020904541,29.0830020904541,29.0830020904541,13.064056014348983,13.064056014348983,13.064056014348983,13.064056014348983
AL201969,INGA,1969-09-20 12:00:00,16.0,313.0,24.8875,80.29461669921875,78.42926025390625,58.11456680297851,54.4783935546875,27.52800178527832,27.52800178527832,27.52800178527832,27.52800178527832,44.32762950821501,44.32762950821501,44.32762950821501,44.32762950821501
AL211969,UNNAMED,1969-09-21 12:00:00,34.0,288.0,11.8225,78.81784057617188,56.357139587402344,63.81186294555664,53.97330856323242,26.748001098632812,26.748001098632812,26.748001098632812,26.748001098632812,40.37895152786142,40.37895152786142,40.37895152786142,40.37895152786142
AL221969,UNNAMED,1969-09-23 12:00:00,40.5,325.0,6.7825,46.18085861206055,57.33687973022461,16.86164093017578,47.68963623046875,22.378000259399418,22.378000259399418,22.378000259399418,22.378000259399418,45.4002939649306,45.4002939649306,45.4002939649306,45.4002939649306
AL231969,UNNAMED,1969-09-29 12:00:00,23.5,274.5,1.88,70.31194305419922,61.74541473388672,62.00069808959961,59.12994384765625,29.13000106811523,29.13000106811523,29.13000106811523,29.13000106811523,9.916182036167632,9.916182036167632,9.916182036167632,9.916182036167632
AL241969,JENNY,1969-10-01 12:00:00,19.0,276.3,0.6025,70.61790466308594,58.43512344360352,59.934967041015625,62.46892929077149,29.173002243041992,29.453001022338867,29.453001022338867,29.453001022338867,11.12045503961592,11.12045503961592,11.12045503961592,11.12045503961592
AL251969,KARA,1969-10-07 12:00:00,19.8,291.8,11.865,73.67391967773438,46.78440475463867,43.26195526123047,42.922149658203125,29.155000686645508,29.155000686645508,29.275001525878903,29.275001525878903,24.43760863147217,24.43760863147217,24.43760863147217,24.43760863147217
AL261969,LAURIE,1969-10-17 00:00:00,18.0,274.7,7.9275,78.17912292480469,61.28343200683594,48.93410110473633,65.4023666381836,28.9950008392334,28.9950008392334,28.9950008392334,28.9950008392334,18.060928539515608,18.060928539515608,18.060928539515608,18.060928539515608
AL281969,UNNAMED,1969-10-28 12:00:00,38.0,291.0,14.2975,93.23230743408205,36.02030944824219,57.02919387817383,38.9850959777832,23.185001373291016,23.185001373291016,23.185001373291016,23.185001373291016,36.918174835918094,36.918174835918094,36.918174835918094,36.918174835918094
AL271969,UNNAMED,1969-10-28 12:00:00,30.5,317.5,3.1575,54.90279006958008,20.642484664916992,35.18535232543945,21.042938232421875,25.378000259399418,25.378000259399418,25.378000259399418,25.378000259399418,47.322709015848154,47.322709015848154,47.322709015848154,47.322709015848154
AL291969,MARTHA,1969-11-20 12:00:00,11.2,280.2,5.42,82.88261413574219,78.44425964355469,67.4075698852539,64.78288269042969,28.683000564575195,28.683000564575195,28.683000564575195,28.683000564575195,28.532974356180823,28.532974356180823,28.532974356180823,28.532974356180823
AL011970,ALMA,1970-05-17 18:00:00,11.5,281.0,3.3975,83.73088073730469,57.80921173095703,56.85171127319336,71.35823059082031,27.80000114440918,27.80000114440918,27.80000114440918,27.80000114440918,27.106576542339607,27.106576542339607,27.106576542339607,27.106576542339607
AL021970,BECKY,1970-07-19 00:00:00,18.5,276.5,2.5375,75.12203216552734,51.287986755371094,68.15203857421875,67.60403442382812,28.55000114440918,28.55000114440918,28.55000114440918,28.55000114440918,16.80858920375657,16.80858920375657,16.80858920375657,16.80858920375657
AL031970,UNNAMED,1970-07-28 18:00:00,34.2,285.2,0.0,52.088340759277344,73.72946166992188,61.27980041503906,33.69892120361328,26.858001708984375,26.858001708984375,26.858001708984375,26.858001708984375,38.83825387929013,38.83825387929013,38.83825387929013,38.83825387929013
AL041970,CELIA,1970-07-31 00:00:00,18.5,277.5,9.775,81.94526672363281,75.0350341796875,66.20735931396484,49.56303024291992,28.5830020904541,28.5830020904541,28.5830020904541,28.5830020904541,16.80858920375657,16.80858920375657,16.80858920375657,16.80858920375657
AL051970,UNNAMED,1970-08-02 12:00:00,14.0,342.0,0.0,77.59674072265625,52.249732971191406,53.82916641235352,63.02235412597656,27.68800163269043,27.733001708984375,27.733001708984375,27.733001708984375,26.78002864229383,26.78002864229383,26.78002864229383,26.78002864229383
AL081970,UNNAMED,1970-08-07 12:00:00,14.0,341.5,10.6575,78.71792602539062,78.61673736572266,50.32559967041016,62.566314697265625,27.50500106811523,27.50500106811523,27.36000061035156,27.36000061035156,26.78002864229383,26.78002864229383,26.78002864229383,26.78002864229383
AL071970,UNNAMED,1970-08-11 06:00:00,19.0,340.0,0.0,37.30910110473633,60.94343185424805,64.08907318115234,50.5828857421875,24.61800193786621,24.61800193786621,24.61800193786621,22.750001907348633,13.992924365108076,13.992924365108076,13.992924365108076,13.992924365108076
