code,min_pressure_mb
AL122007,988.0
AL122008,990.0
AL122010,948.0
AL122011,942.0
AL122012,968.0
AL122013,998.0
AL122015,980.0
AL122016,980.0
AL122017,938.0
AL122018,998.0
AL122019,1003.0
AL122020,1000.0
AL122021,953.0
AL122022,1007.0
AL122023,998.0
AL122024,928.0
AL131887,
AL131901,
AL131916,963.0
AL131931,
AL131932,
AL131933,960.0
AL131934,
AL131936,962.0
AL131944,937.0
AL131949,995.0
AL131950,987.0
AL131953,999.0
AL131954,
AL131955,984.0
AL131959,
AL131964,1003.0
AL131966,1007.0
AL131967,923.0
AL131968,1004.0
AL131969,973.0
AL131970,990.0
AL131971,943.0
AL131972,997.0
AL131973,
AL131974,1001.0
AL131975,955.0
AL131976,
AL131977,994.0
AL131978,976.0
AL131979,
AL131980,993.0
AL131981,966.0
AL131984,1006.0
AL131985,954.0
AL131987,993.0
AL131988,
AL131989,
AL131990,985.0
AL131995,935.0
AL131996,983.0
AL131998,905.0
AL131999,958.0
AL132000,943.0
AL132001,982.0
AL132002,938.0
AL132003,915.0
AL132004,987.0
AL132005,1006.0
AL132007,990.0
AL132008,998.0
AL132010,956.0
AL132011,986.0
AL132012,964.0
AL132013,1000.0
AL132016,999.0
AL132017,972.0
AL132018,968.0
AL132019,925.0
AL132020,937.0
AL132021,1000.0
AL132022,982.0
AL132023,926.0
AL132024,970.0
AL141887,
AL141916,970.0
AL141932,918.0
AL141933,929.0
AL141936,998.0
AL141944,
AL141949,
AL141950,
AL141953,
AL141954,938.0
AL141959,1002.0
AL141966,
AL141967,973.0
AL141968,977.0
AL141970,
AL141971,959.0
AL141972,944.0
AL141973,978.0
AL141974,971.0
AL141975,977.0
AL141976,1011.0
AL141977,1005.0
AL141978,
AL141979,975.0
AL141980,970.0
AL141981,975.0
AL141984,993.0
AL141985,
AL141987,
AL141988,
AL141989,982.0
AL141990,987.0
AL141995,1008.0
AL141998,979.0
AL141999,979.0
AL142000,975.0
AL142001,1007.0
AL142002,1002.0
