code,aew_strength_minus_0_days,aew_strength_minus_2_days,aew_strength_minus_3_days
AL041983,6.60515006685047E-06,6.33672740789137E-06,4.20018247366838E-06
AL051983,4.06533791565287E-06,6.25947330758E-06,3.33076955933519E-06
AL061983,2.53829343593939E-06,2.9549907256895E-06,5.87054378512616E-06
AL011984,8.40059523866834E-06,3.24288488310779E-06,7.70069044149476E-06
AL021984,5.29089999447769E-06,5.73191948430581E-06,9.37757816481925E-06
AL031984,1.25586247933521E-05,8.99464808583138E-06,8.2281818152191E-06
AL041984,7.47159062648718E-06,8.10647932644454E-06,1.39122668615744E-05
AL051984,3.99824696580132E-06,3.34805673756869E-06,2.06265194501677E-06
AL061984,2.17842032416175E-06,3.85991016437521E-06,2.40914468719575E-06
AL071984,6.5138454077878E-06,2.17842032416175E-06,1.37972732361485E-06
AL081984,2.77996742666653E-06,5.91960808618772E-06,2.17842032416175E-06
AL091984,5.02599423086471E-06,6.70999472398462E-06,6.07664835785889E-06
AL101984,8.32096492861857E-06,5.02599423086471E-06,6.4039701643312E-06
AL111984,1.01116258178545E-05,2.86587295254541E-06,5.76888678686651E-06
AL121984,1.23547194362072E-05,4.48199143716338E-06,2.86587295254541E-06
AL131984,1.32187294088931E-05,1.01116258178545E-05,4.48199143716338E-06
AL141984,8.2836728181287E-06,3.86608047952481E-06,3.26110976448942E-06
AL151984,7.5230313412674E-06,8.2836728181287E-06,6.87796744828258E-06
AL161984,3.93228192314681E-06,7.60591290805058E-06,5.22774564236963E-06
AL171984,4.76217540835297E-06,5.38637453001295E-06,1.79315175496169E-06
AL181984,0.0,0.0,0.0
AL191984,0.0,0.0,0.0
AL201984,0.0,0.0,0.0
AL011985,1.0394733842193E-05,1.12994127719185E-05,4.85671013096215E-06
AL021985,5.73719381619962E-06,8.82713216309268E-06,7.74295542958507E-06
AL031985,3.15459603019209E-06,6.06559710373626E-06,6.71129672481501E-06
AL041985,5.33396378495023E-06,2.37390017345882E-06,3.15459603019209E-06
AL051985,7.89863675530757E-06,1.53835523711384E-06,4.78359256612794E-06
AL061985,7.42773641573402E-06,1.08389654573427E-05,9.09651179743929E-06
AL071985,9.06534821727995E-06,8.00992469557837E-06,7.42773641573402E-06
AL081985,8.42950331140359E-06,3.87338256367363E-06,7.25822598322483E-06
AL091985,2.50922443553924E-06,8.64709726283472E-06,3.87338256367363E-06
AL101985,6.81422299391362E-06,2.10734052946958E-06,3.61372390371305E-06
AL111985,2.60927193211751E-06,3.53372712700552E-06,4.13462713180891E-06
AL121985,1.967688114177E-05,3.25042232693151E-06,2.40633796218868E-06
AL131985,0.0,0.0,0.0
AL141985,0.0,0.0,0.0
AL011986,2.48461585156117E-06,6.96267596264432E-06,5.24833555308322E-06
AL021986,7.76005280377496E-06,3.21064846470053E-06,3.7408174326479E-06
AL031986,4.49176232539636E-06,4.62092607921308E-06,5.38562623259944E-06
AL041986,1.9682524467013E-06,9.06922062687984E-07,7.2231917872004E-06
AL051986,4.41646966517324E-06,3.46550923281813E-06,1.92036089215604E-06
AL061986,6.22890483551781E-06,6.2112257627053E-06,3.36963196617281E-06
AL071986,7.04916212978108E-06,6.22890483551781E-06,9.37779996175736E-06
AL081986,5.19732392851745E-06,3.16878928005585E-06,1.30668464287802E-05
AL091986,3.52643698967638E-06,4.95942390746655E-06,5.19732392851745E-06
AL101986,0.0,0.0,0.0
AL011987,0.0,0.0,0.0
AL021987,5.73872928157436E-06,3.10129589304397E-06,7.28861332822262E-06
AL031987,5.78635186695662E-06,3.56632557612995E-06,3.10129589304397E-06
AL041987,9.39370564513063E-06,9.76262204068872E-06,6.07831376052836E-06
AL051987,1.34810084094056E-05,7.39006284787575E-06,5.01967573275135E-06
AL061987,7.45477607716753E-06,9.06672058124554E-06,9.06631863744142E-06
AL071987,3.52692378643326E-06,1.36611678110704E-05,1.02079381380605E-05
