code,vws_minus_0_days,vws_minus_3_days,vws_minus_7_days,vws_minus_14_days
AL011932,23.829815230799447,17.818354984425696,14.432131547681792,24.298310881321
AL011933,12.935997529187707,12.629020318062334,8.92666978817882,8.457258011389621
AL011934,2.804775614848236,9.2202827069457,7.981240297219082,9.839753228220188
AL011935,13.810263204837243,25.064952390968788,29.14023397326776,28.57544020532018
AL011936,5.656489312738427,10.112804799464232,2.896340350097765,10.280822614140506
AL011937,8.802590058219975,5.792947872508898,4.459911896001089,3.076196379062465
AL011938,17.118243872684456,28.889089582379608,25.04717418832637,12.802603380769357
AL011939,11.832550214661286,17.80101694128092,15.44544401091658,16.384107893655475
AL011940,20.84186531256055,34.80287510036443,26.72749050497702,31.650854855486084
AL011941,7.698900503182477,10.544834498324322,3.6651824388481127,5.653644302136624
AL011942,3.978269559596717,6.52277241631166,6.091193533033044,6.2121244352172535
AL011943,8.354342784158405,12.22821972928335,5.190839667628566,3.0190604390628364
AL011944,10.388837744606988,16.85732062674526,10.978048289552005,14.36284256732116
AL011945,12.933588625864054,16.95688848693148,16.019343089657447,13.197881427805006
AL011946,10.41002943891682,16.68857990755761,24.9645267416627,14.36950058751337
AL011947,3.759035362352968,2.8900281857978065,5.565006417718868,10.9628777941967
AL011948,14.959253788913866,25.276685360309926,27.84936244407013,20.741186876615956
AL011949,2.152132138502702,3.943471545987811,1.7510239058195638,17.42207758640851
AL011950,6.589655514039442,5.2121019073602,8.813760673050936,0.4011776907979641
AL011951,13.737797805363662,33.1466719269944,30.587521370764005,27.881294256204686
AL011952,31.90396380528266,23.199983538582618,20.50604588538338,8.808130736902655
AL011953,6.590176798636643,8.438302454237508,10.22380122501211,9.044976072325671
AL011954,16.733653740426,15.531974557058808,27.124492951843262,27.988251138360106
AL011955,11.356785082293543,2.656551372752593,2.027845796075503,3.83966809197432
AL011956,17.261555695599075,19.150418648680606,19.569145101349672,23.963007358148545
AL011957,8.373214963880667,18.41103381852576,17.64092917832199,13.470304647848382
AL011958,6.876811079218096,8.781694158939398,23.47598640572664,14.526460971317839
AL011959,12.435191689388573,16.869568277893272,26.249253149430388,22.246734543141496
AL011960,5.322891035376325,9.117014761818847,4.492247475872068,11.829524849072426
AL011961,5.308575478875532,5.027863088747804,6.972060637886057,11.927646794207933
AL011962,3.7414661089500227,13.052311335201393,5.965961054805099,7.252996782655633
AL011963,1.5294426628676578,7.873862391744551,6.625580150481574,8.520969283124112
AL011964,4.979691854948007,10.486679681359051,19.031054001284097,24.879052333086786
AL011965,12.398598611761733,14.52612683159394,14.971867477739107,22.305720176941747
