code,amo
AL042003,0.2572402
AL042004,0.1207146
AL042005,0.1902146
AL042006,0.2574673
AL042007,-0.3957891
AL042008,0.2509336
AL042009,-0.1213458
AL042010,0.2348202
AL042011,-0.364612
AL042012,0.3048818
AL042013,0.01562457
AL042014,0.2648553
AL042015,-0.3407366
AL042016,0.01411422
AL042017,-0.2394267
AL042018,-0.1330236
AL042019,0.1164303
AL042020,-0.1180467
AL042021,0.1398476
AL042023,0.3720627
AL042024,0.1280671
AL051851,0.21759
AL051852,0.3354824
AL051853,0.293643
AL051854,0.107569
AL051855,0.01766351
AL051856,0.101261
AL051858,-0.1414031
AL051859,0.37755
AL051860,0.02420981
AL051861,0.04540048784876922
AL051862,0.0466452302104802
AL051863,0.047616883367142794
AL051864,0.04866767763208259
AL051865,0.04947521438683284
AL051866,0.050271574706574625
AL051867,0.05098231036189826
AL051869,0.04354461
AL051870,-0.2980233
AL051871,0.2347319
AL051872,0.05332673679669604
AL051873,0.01930331
AL051874,0.2702686
AL051875,0.1220539
AL051876,-0.2188371
AL051877,-0.3129176
AL051878,0.2087004
AL051879,0.2419821
AL051880,0.148856
AL051881,-0.315805
AL051882,-0.1450633
AL051885,-0.1210656
AL051886,0.0676253
AL051887,0.472713
AL051888,-0.1426325
AL051889,0.1001621
AL051891,0.05281422
AL051892,-0.1826277
AL051893,0.1870472
AL051894,-0.2395358
AL051895,0.1234735
AL051896,-0.231191
AL051897,-0.3044671
AL051898,0.5512835
AL051899,0.121917
AL051900,0.05798012
AL051901,0.1053386
AL051902,0.1278241
AL051903,-0.4259915
AL051904,-0.2825925
AL051905,-0.3737876
AL051906,-0.0613116
AL051907,-0.07388164
AL051908,0.3793511
AL051909,-0.006090805
AL051910,0.07600941
AL051911,0.3321184
AL051912,-0.08209515
AL051913,-0.08908822
AL051915,-0.04519059
AL051916,-0.0619386
AL051918,-0.4279201
AL051919,-0.07275306
AL051920,-0.2089069
AL051921,0.05219312
AL051922,-0.1012741
AL051923,-0.1439165
AL051924,-0.1094096
AL051926,-0.1406062
AL051927,-0.1038499
AL051928,0.129613
AL051929,0.3142168
AL051931,0.2701632
AL051932,0.4333062
AL051933,0.3392501
AL051934,0.1565713
AL051935,0.01323411
AL051936,0.04749107
AL051937,0.3849436
AL051938,0.3024473
AL051939,0.2767857
AL051940,-0.09709607
AL051941,-0.1676766
AL051942,0.5176257
AL051943,-0.01038159
AL051944,0.1695287
AL051945,0.006099403
AL051946,0.08494471
AL051947,0.07075112
AL051948,0.05360352
AL051949,0.2160088
AL051950,0.03346992
AL051951,0.1472546
AL051952,0.2865688
AL051953,-0.1240263
AL051954,0.1551555
AL051955,0.43666
AL051956,-0.02322939
AL051957,-0.01062569
AL051958,-0.0647456
AL051959,-0.2765025
AL051960,0.1627197
AL051961,-0.01614939
AL051962,-0.03697328
AL051963,-0.6529735
AL051964,-0.1936401
AL051965,-0.1912214
AL051966,-0.4599432
AL051968,-0.4126521
AL051969,-0.1829012
AL051970,-0.04943831
AL051971,-0.3663183
AL051972,-0.3573528
AL051973,-0.244791
AL051974,-0.7371646
AL051975,0.04596438
AL051976,0.1966217
AL051977,-0.252035
AL051978,0.05366969
AL051979,-0.1398673
AL051980,-0.239821
AL051981,-0.05794118
AL051982,-0.2224944
AL051983,-0.388594
AL051984,-0.07535153
AL051985,-0.5760488
AL051986,-0.3426447
AL051987,0.1787661
AL051988,-0.3055745
AL051989,0.3753757
AL051990,-0.0227745
AL051991,-0.3043797
AL051992,-0.266439
AL051993,-0.1545277
AL051994,-0.2669998
AL051995,0.1296913
AL051996,-0.08881154
AL051997,-0.1360856
AL051998,0.2196363
AL051999,0.4939605
AL052000,0.05749761
AL052001,0.1490442
AL052002,-0.163281
AL052003,0.2572402
AL052004,0.1207146
AL052005,0.1902146
AL052006,0.2574673
AL052007,-0.3957891
AL052008,0.2153644
AL052009,-0.1213458
AL052010,0.2348202
AL052011,-0.2363979
AL052012,0.4904583
AL052013,-0.08350044
AL052014,0.02028051
AL052015,-0.3407366
AL052016,-0.2480922
AL052017,-0.2394267
AL052018,-0.1330236
AL052019,0.1164303
AL052020,0.02956687
AL052021,0.1398476
AL052022,0.3346443
AL052023,0.5871773
AL052024,0.1280671
AL061851,0.569602
AL061853,0.293643
AL061856,0.2902186
AL061858,0.1640215
AL061859,-0.04992878
AL061860,0.02420981
AL061861,0.3243721
AL061862,0.04673836150178597
AL061863,0.047616883367142794
AL061865,0.04947521438683284
AL061866,0.050271574706574625
AL061867,0.05098231036189826
AL061869,0.04354461
AL061870,0.1267297
AL061871,0.052999698430002025
AL061874,0.2702686
AL061875,0.1220539
AL061877,-0.3256721
AL061878,0.2087004
AL061879,0.2419821
AL061880,0.5559285
AL061881,-0.08946049
AL061882,-0.01317169
AL061885,-0.1210656
AL061886,0.0676253
AL061887,0.4012992
AL061888,-0.1426325
AL061889,0.1001621
AL061891,0.05281422
AL061892,-0.1826277
AL061893,0.1870472
AL061894,-0.2395358
AL061895,0.1234735
AL061896,-0.231191
AL061897,-0.3044671
AL061898,0.5512835
AL061899,0.02963161
AL061900,0.05798012
AL061901,0.1053386
AL061903,-0.4259915
AL061904,-0.2825925
AL061906,-0.0613116
AL061908,0.1255934
AL061909,-0.006090805
AL061911,-0.07019619
AL061912,-0.08209515
AL061913,-0.08908822
AL061915,-0.04519059
AL061916,-0.0619386
AL061918,-0.4279201
AL061921,0.05219312
AL061923,-0.09269698
AL061924,-0.1094096
AL061926,-0.1406062
AL061927,0.03886761
AL061928,0.09006132
AL061931,0.2701632
AL061932,0.4333062
AL061933,0.2899238
AL061934,0.3968007
AL061935,-0.07122868
AL061936,0.107435
AL061937,0.3849436
AL061938,0.3024473
AL061939,0.2767857
AL061940,-0.09709607
AL061941,-0.1676766
AL061942,0.5176257
AL061943,-0.01038159
AL061944,0.3891741
AL061945,0.006099403
AL061946,0.08494471
AL061947,0.07075112
AL061948,0.05360352
AL061949,0.2160088
AL061950,0.03346992
AL061951,-0.0171911
AL061952,0.2865688
AL061953,0.08984572
AL061954,-0.0387999
AL061955,0.3266099
AL061956,-0.02322939
AL061957,-0.01062569
AL061958,0.01004311
AL061959,-0.07856771
AL061960,-0.0001736879
AL061961,-0.01614939
AL061962,-0.3286625
AL061963,-0.6529735
AL061964,-0.1936401
AL061965,-0.312718
AL061966,-0.09814698
AL061968,-0.4126521
AL061969,-0.1829012
AL061971,-0.3663183
AL061972,-0.3573528
AL061973,-0.244791
AL061974,-0.7184526
AL061975,0.04596438
AL061976,0.1966217
AL061977,-0.2145281
AL061978,0.05366969
AL061979,-0.1398673
AL061980,-0.239821
AL061981,-0.05794118
AL061982,-0.2224944
AL061983,-0.388594
AL061984,-0.07535153
AL061985,-0.3247655
AL061986,-0.3426447
AL061987,0.1787661
AL061988,-0.3055745
AL061989,0.1021773
AL061990,-0.0227745
AL061991,-0.2404323
AL061992,-0.266439
AL061993,-0.1545277
AL061994,-0.2955748
AL061995,-0.09376836
AL061996,-0.08881154
AL061997,-0.1360856
AL061998,0.1728268
AL061999,0.4939605
AL062000,0.05749761
AL062001,0.236595
AL062002,-0.163281
AL062003,0.2572402
AL062004,0.1207146
AL062005,0.1902146
AL062006,0.2574673
AL062007,-0.3957891
AL062008,0.2153644
AL062009,-0.5041016
AL062010,0.2348202
AL062011,-0.2363979
AL062012,0.4904583
AL062013,-0.08350044
AL062014,0.02028051
AL062015,-0.3407366
AL062016,-0.2480922
AL062017,-0.2394267
AL062018,-0.1330236
AL062019,0.1164303
AL062020,0.02956687
AL062021,-0.008193001
AL062022,0.5967269
AL062023,0.2781742
AL062024,0.2018935
AL071853,0.293643
AL071859,-0.04992878
AL071860,0.5827007
AL071861,0.3243721
AL071863,0.047616883367142794
AL071865,0.04954393413062489
AL071866,0.05033320069994301
AL071867,0.05103696486736293
AL071869,0.04354461
AL071870,0.1267297
AL071871,0.052999698430002025
AL071874,0.3285772
AL071877,-0.3256721
AL071878,0.2087004
AL071879,0.2419821
AL071880,0.5559285
AL071881,-0.08946049
AL071885,-0.1210656
AL071886,0.0676253
AL071887,0.4012992
AL071888,-0.1079158
AL071889,0.1001621
AL071891,-0.2509148
AL071892,-0.1717668
AL071893,0.1870472
AL071894,-0.2395358
AL071896,-0.06182984
AL071898,0.5512835
AL071899,0.02963161
AL071900,0.05798012
AL071901,0.1053386
AL071903,-0.5419869
AL071906,-0.0613116
AL071908,0.1255934
AL071909,-0.006090805
AL071912,-0.09577273
AL071916,-0.0619386
AL071921,-0.160184
AL071923,-0.09269698
AL071924,-0.1094096
AL071926,-0.1406062
AL071927,0.03886761
AL071931,0.2701632
AL071932,0.4333062
AL071933,0.2899238
AL071934,0.3968007
AL071935,-0.07122868
AL071936,0.107435
AL071937,0.3849436
AL071938,0.2577692
AL071940,-0.09709607
AL071942,0.5176257
AL071943,-0.01038159
AL071944,0.3891741
AL071945,0.4404316
AL071946,0.08494471
AL071947,-0.04435459
AL071948,0.05360352
AL071949,0.2160088
AL071950,0.03346992
AL071951,-0.0171911
AL071952,0.2865688
AL071953,0.08984572
AL071954,-0.0387999
AL071955,0.3266099
AL071956,-0.02322939
AL071957,-0.01062569
AL071958,0.01004311
AL071959,0.2317334
AL071960,-0.0001736879
AL071961,-0.01614939
AL071962,-0.00523857
AL071963,-0.6529735
AL071964,0.05534141
AL071965,-0.1912214
AL071966,-0.07714254
AL071969,-0.3475042
AL071970,-0.04943831
AL071971,-0.3663183
AL071972,-0.6462438
AL071973,-0.2259331
AL071974,-0.7184526
AL071975,0.2435238
AL071976,0.2286659
AL071977,-0.2145281
AL071978,0.05366969
AL071979,-0.1398673
AL071980,-0.239821
AL071981,-0.3683351
AL071982,-0.2224944
AL071984,-0.07535153
AL071985,-0.3247655
AL071986,-0.3136323
AL071987,-0.01665039
AL071988,-0.3055745
AL071989,0.1021773
AL071990,-0.0227745
AL071991,-0.2404323
AL071992,-0.266439
AL071993,-0.09936358
AL071994,-0.2955748
AL071995,-0.09376836
AL071996,-0.08881154
AL071997,-0.04944465
AL071998,0.1728268
AL071999,0.3404911
AL072000,0.05749761
AL072001,0.236595
AL072002,-0.163281
AL072003,0.2572402
AL072004,0.1207146
AL072005,0.1902146
AL072006,0.1300277
AL072007,-0.04784122
AL072008,0.2153644
AL072009,-0.5041016
AL072010,0.2348202
AL072011,-0.2363979
AL072012,0.4904583
AL072013,0.003842607
AL072014,0.1205638
AL072015,-0.1790467
AL072016,-0.2480922
AL072017,-0.3353164
AL072018,-0.05443552
AL072019,-0.1293316
AL072020,0.02956687
AL072021,-0.008193001
AL072022,0.5967269
AL072023,0.2781742
AL072024,0.2018935
AL081853,0.15198
AL081859,-0.04992878
AL081861,0.045599782803144556
AL081863,0.047616883367142794
AL081867,0.05103696486736293
AL081869,0.04354461
AL081870,0.1267297
AL081871,0.05302767201688937
AL081877,0.1653856
AL081878,-0.6623824
AL081879,0.1156265
AL081880,0.5559285
AL081885,-0.1558054
AL081886,-0.1216455
AL081887,0.02752881
AL081888,-0.01177407
AL081889,0.1001621
AL081891,-0.2509148
AL081892,-0.1717668
AL081893,-0.3246513
AL081898,0.5512835
AL081899,0.02963161
AL081901,0.1362273
AL081903,-0.5419869
AL081906,-0.05468869
AL081908,0.1255934
AL081909,-0.006090805
AL081916,-0.0619386
AL081923,-0.09269698
AL081924,-0.1094096
AL081926,-0.1406062
AL081927,0.07618633
AL081931,0.2701632
AL081932,0.4333062
AL081933,0.2899238
AL081934,0.3968007
AL081935,0.3123723
AL081936,0.107435
AL081937,0.3849436
AL081938,0.2577692
AL081940,0.1777069
AL081942,0.5176257
AL081943,-0.008436292
AL081944,0.3891741
AL081945,0.4404316
AL081947,-0.04435459
AL081948,0.05360352
AL081949,0.2160088
AL081950,0.001910508
AL081951,-0.0171911
AL081952,0.2865688
AL081953,0.08984572
AL081954,-0.03437169
AL081955,0.3266099
AL081956,0.08239143
AL081957,-0.08169029
AL081958,0.01004311
AL081959,0.2317334
AL081960,-0.0001736879
AL081961,0.05737801
AL081963,-0.2445248
AL081964,0.05534141
AL081965,-0.1912214
AL081966,-0.07714254
AL081968,-0.1360807
AL081969,-0.3475042
AL081970,-0.04943831
AL081971,-0.3663183
AL081972,-0.6462438
AL081973,-0.2259331
AL081974,-0.7184526
AL081975,0.2435238
AL081976,0.2286659
AL081977,-0.2145281
AL081978,0.05366969
AL081979,-0.1398673
AL081980,-0.239821
AL081981,-0.3683351
AL081982,-0.2224944
AL081984,-0.07535153
AL081985,-0.3247655
AL081986,-0.3136323
AL081987,-0.01665039
AL081988,-0.3055745
