code,formation_datetime,formation_lat,formation_lon
AL021924,1924-07-28 06:00:00,28.5,281.5
AL021925,1925-08-25 12:00:00,30.0,282.0
AL021926,1926-07-29 12:00:00,16.0,314.0
AL021927,1927-09-02 06:00:00,16.7,340.0
AL021928,1928-08-07 12:00:00,11.5,299.7
AL021929,1929-09-19 00:00:00,23.0,296.4
AL021930,1930-08-29 00:00:00,12.8,316.5
AL021931,1931-07-11 06:00:00,15.7,277.7
AL021932,1932-08-12 00:00:00,22.0,269.7
AL021933,1933-06-24 12:00:00,9.0,317.5
AL021934,1934-07-12 00:00:00,30.7,280.6
AL021935,1935-08-16 06:00:00,10.9,304.0
AL021936,1936-06-19 06:00:00,22.3,269.6
AL021937,1937-08-02 18:00:00,22.8,284.5
AL021938,1938-08-08 06:00:00,17.5,297.7
AL021939,1939-08-07 18:00:00,19.3,296.1
AL021940,1940-08-03 12:00:00,28.5,276.9
AL021941,1941-09-17 12:00:00,23.7,272.0
AL021942,1942-08-17 12:00:00,19.0,274.5
AL021943,1943-08-13 12:00:00,17.1,299.5
AL021944,1944-07-24 06:00:00,13.4,303.4
AL021945,1945-07-19 06:00:00,25.7,270.0
AL021946,1946-07-05 06:00:00,31.4,280.7
AL021947,1947-08-09 06:00:00,12.7,284.5
AL021948,1948-07-07 18:00:00,27.5,270.6
AL021949,1949-08-23 06:00:00,18.0,300.0
AL021950,1950-08-18 12:00:00,12.0,306.0
AL021951,1951-05-16 00:00:00,32.0,292.0
AL021952,1952-08-18 06:00:00,14.6,341.0
AL021953,1953-07-11 18:00:00,26.1,278.7
AL021954,1954-06-18 00:00:00,25.8,279.2
AL021955,1955-08-03 06:00:00,15.3,320.0
AL021956,1956-07-25 18:00:00,20.8,267.5
AL021957,1957-06-24 12:00:00,21.0,267.0
AL021958,1958-08-08 12:00:00,16.5,339.5
AL021959,1959-06-15 18:00:00,21.1,265.3
AL021960,1960-07-09 12:00:00,12.0,304.2
AL021961,1961-09-02 06:00:00,13.3,318.4
AL021962,1962-08-27 06:00:00,16.0,342.0
AL021963,1963-08-20 00:00:00,11.2,312.6
AL021964,1964-07-28 06:00:00,19.1,314.0
AL021965,1965-08-21 06:00:00,32.4,307.7
AL021966,1966-06-30 00:00:00,29.0,296.0
AL021968,1968-06-18 00:00:00,25.0,278.7
AL021970,1970-07-19 00:00:00,18.5,276.5
AL021971,1971-07-07 12:00:00,29.0,268.0
AL021972,1972-06-14 12:00:00,20.0,271.0
AL021973,1973-05-02 12:00:00,25.0,297.5
AL021974,1974-06-24 18:00:00,24.0,272.0
AL021975,1975-06-27 00:00:00,27.5,281.0
AL021976,1976-06-07 06:00:00,26.8,281.0
AL021977,1977-07-18 06:00:00,25.8,273.2
AL021978,1978-06-21 12:00:00,25.2,273.5
AL021979,1979-06-19 12:00:00,10.0,315.0
AL021980,1980-07-17 12:00:00,25.0,270.0
AL021981,1981-04-19 12:00:00,11.0,281.0
AL021982,1982-06-18 00:00:00,25.8,273.6
AL021983,1983-07-27 12:00:00,12.0,333.0
AL021984,1984-06-18 12:00:00,20.5,266.0
AL021985,1985-07-21 06:00:00,26.0,275.0
AL021986,1986-06-23 18:00:00,25.6,272.8
AL021987,1987-08-08 00:00:00,34.3,282.5
AL021988,1988-08-08 00:00:00,30.4,269.7
AL021989,1989-06-24 18:00:00,27.0,264.0
AL021990,1990-07-22 06:00:00,8.8,318.1
AL021991,1991-07-05 18:00:00,23.4,263.8
AL021992,1992-06-25 12:00:00,24.5,274.5
AL021993,1993-06-18 00:00:00,20.5,268.1
AL021994,1994-07-20 06:00:00,32.2,281.1
AL021995,1995-07-05 06:00:00,32.0,288.0
AL021996,1996-07-05 00:00:00,9.8,326.0
AL021997,1997-06-30 12:00:00,32.0,282.8
