code,cape_minus_0_days,cape_minus_2_days,cape_minus_3_days
AL071977,9.25,2.5,0.75
AL071978,865.0,102.875,334.0
AL071979,244.5,494.75,722.75
AL071980,94.5,40.25,0.0
AL071981,0.0,0.0,0.0
AL071982,0.0,0.0,0.0
AL071984,1851.25,969.0,1673.125
AL071985,429.375,1313.875,909.25
AL071986,143.25,449.5,34.0
AL071987,1063.75,1651.75,1431.625
AL071988,15.25,0.0,0.0
AL071989,843.75,927.625,418.5
AL071990,274.25,75.0,323.0
AL071991,1471.875,345.125,806.75
AL071992,3.75,6.0,38.25
AL071993,0.0,206.75,15.75
AL071994,446.5,247.25,511.75
AL071995,1384.5,842.5,543.5
AL071996,632.5,1477.0,527.25
AL071997,666.5,675.0,205.0
AL071998,283.75,321.25,354.0
AL071999,0.0,0.0,0.0
AL072000,436.25,683.0,211.75
AL072001,1366.25,816.75,950.625
AL072002,0.0,0.0,0.5
AL072003,1.5,0.0,0.0
AL072004,320.75,1025.25,167.75
AL072005,1.75,842.25,512.0
AL072006,428.75,1120.75,877.5
AL072007,0.25,37.25,29.75
AL072008,216.0,604.25,428.75
AL072009,307.0,593.75,545.0
AL072010,544.0,362.0,193.75
AL072011,0.25,0.75,0.0
AL072012,107.75,342.25,323.75
AL072013,994.0,786.5,154.75
AL072014,0.0,0.0,0.0
AL072015,486.25,980.125,620.75
AL072016,369.0,922.0,840.0
AL072017,34.0,1185.5,468.0
AL072018,7.5,0.0,0.0
AL072019,40.5,181.0,69.25
AL072020,119.75,262.25,205.5
AL072021,2070.0,240.0,1092.25
AL072022,2345.25,158.75,865.5
AL072023,655.0,571.5,1478.25
AL072024,1182.75,391.75,74.75
AL081940,1032.25,1085.25,1839.25
AL081942,0.0,0.0,0.0
AL081943,0.0,0.0,0.0
AL081944,723.0,0.5,976.0
AL081945,1423.5,1088.25,563.875
AL081947,15.625,94.5,367.375
AL081948,1054.125,1643.375,498.25
AL081949,74.125,1372.625,1533.25
AL081950,2069.75,90.625,15.875
AL081951,802.0,786.5,595.0
AL081952,529.5,639.0,462.75
AL081953,16.75,335.625,0.0
AL081954,1653.75,0.0,403.25
AL081955,365.875,1059.625,414.125
AL081956,19.6875,0.0,0.0
AL081957,2.625,64.0,0.0
AL081958,405.375,2697.125,1495.0
AL081959,1.375,73.5,0.875
AL081960,0.0,0.375,22.25
AL081961,0.0,0.0,0.0
AL081963,2.375,0.0,0.375
AL081964,349.0,1336.25,1101.0
AL081965,15.75,24.875,1.125
AL081966,996.5,0.0,0.0
AL081968,2741.75,444.0,695.25
AL081969,694.25,1003.75,800.25
AL081970,518.875,903.5,1036.5
AL081971,1058.125,654.75,790.5
AL081972,4.75,11.625,3.5
AL081973,50.75,0.0,0.0
AL081974,0.0,0.0,0.0
AL081975,3.75,1.0,0.0
AL081976,0.0,438.375,736.0
AL081977,582.625,1347.625,691.125
AL081978,0.0,0.0,0.0
AL081979,1455.0,184.25,625.25
AL081980,1056.625,867.5,1.75
AL081981,0.0,0.0,0.0
AL081982,0.0,0.0,0.0
AL081984,12.0,0.0,2.5
AL081985,0.0,0.0,14.75
AL081986,1270.0,845.0,468.0
AL081987,821.375,2038.25,602.875
AL081988,242.5,1304.75,934.0
AL081989,347.5,1799.5,906.5
AL081990,1664.5,1124.125,885.0
AL081991,1.375,0.0,0.75
AL081992,1582.75,833.875,687.0
AL081993,941.875,472.75,974.5
AL081994,0.0,72.0,113.25
AL081995,0.0,0.0,2.0
AL081996,618.75,1129.25,1227.75
AL081997,0.0,0.0,0.0
AL081998,26.5,3.75,1.25
AL081999,918.75,1847.5,1280.0
AL082000,1681.5,1284.75,2753.5
AL082001,0.0,0.0,0.0
AL082002,0.0,0.0,0.0
AL082003,4.25,1392.5,758.25
AL082004,183.25,144.25,99.0
AL082005,4.0,3.0,7.5
AL082006,1.0,624.0,484.25
AL082007,595.125,344.5,441.75
AL082008,267.25,699.5,112.25
AL082009,2416.875,885.5,807.0
AL082010,625.0,891.25,720.25
AL082011,137.0,659.625,572.625
AL082012,0.0,0.25,78.0
AL082013,9.25,387.5,0.0
AL082014,75.0,138.875,1192.0
AL082015,12.0,22.0,0.0
AL082016,167.25,9.25,4.75
AL082017,63.25,0.0,0.75
AL082018,419.5,721.0,688.75
AL082019,1503.0,1297.25,220.25
AL082020,0.0,0.0,0.0
AL082021,6.0,0.0,0.5
AL082022,246.5,32.625,45.5
AL082023,1254.0,746.75,306.25
AL091940,0.75,0.0,0.0
AL091942,1217.875,74.375,125.75
AL091943,2159.625,1689.625,2262.625
AL091944,2770.75,599.75,746.875
AL091945,336.875,934.625,1371.0
AL091947,2282.5,3666.75,3651.125
AL091948,1134.375,93.75,512.125
AL091949,37.875,222.25,258.375
AL091950,0.0,0.0,4.375
AL091951,2283.25,1181.75,634.25
AL091952,2671.75,2945.125,2354.5
AL091953,702.0,2828.0,2273.75
AL091954,16.0,8.75,2.75
AL091955,1381.625,1943.0,699.25
AL091956,10.25,0.625,1.0
AL091958,321.25,691.625,218.625
AL091959,2.875,0.0,4.75
AL091961,1345.0625,2633.875,1288.875
AL091963,0.0,0.4375,10.6875
AL091964,1012.625,1072.125,741.125
AL091965,21.5,91.125,409.5
AL091966,798.625,335.0,316.5
AL091968,89.375,0.0,19.5
AL091969,0.0,62.0,36.25
AL091970,985.875,728.5,877.25
AL091971,703.0,1085.0,1004.625
AL091972,682.875,962.0,870.75
AL091973,819.5,795.5,1099.5
AL091974,0.0,0.0,0.0
AL091975,209.0,700.625,1131.625
AL091976,0.0,172.375,523.375
AL091977,0.0,37.625,880.375
AL091978,0.0,2.125,7.375
AL091979,125.5,335.5,406.75
AL091980,740.375,1278.625,1584.0
AL091981,16.25,6.75,2.75
AL091984,0.0,241.875,12.5
AL091985,719.375,2234.25,1271.25
AL091986,1586.625,10.5,1.25
AL091987,948.25,3.625,2.75
AL091988,1682.0,519.75,1513.75
AL091989,670.25,266.5,339.5
AL091990,1083.75,1466.25,1124.125
AL091991,0.0,4.625,11.75
AL091992,0.25,2.75,1.0
AL091993,0.0,1.25,3.875
AL091994,804.25,1149.625,17.0
AL091995,639.0,1049.25,1320.75
AL091996,334.375,175.125,211.625
AL091997,0.0,0.0,0.25
AL091998,1400.25,489.75,428.75
AL091999,415.0,1105.0,604.25
AL092000,6.375,0.75,7.5
AL092001,1228.75,910.75,887.25
AL092002,0.0,0.0,0.0
AL092003,752.5,556.25,796.0
AL092004,785.25,371.75,222.75
AL092005,1069.75,555.25,575.75
AL092006,249.0,847.25,223.0
AL092007,7.75,0.5,0.25
AL092008,1106.25,803.5,1515.5
AL092009,4.5,0.125,6.0
AL092010,239.25,399.25,240.25
AL092011,742.75,162.0,513.25
AL092012,1694.25,1012.5,1321.25
AL092013,61.0,332.5,740.5
AL092014,0.0,0.0,0.0
AL092015,1937.75,956.25,1043.0
AL092016,6.5,0.25,0.0
AL092017,792.25,828.5,293.0
AL092018,419.5,721.0,688.75
AL092019,0.0,0.0,0.25
AL092020,512.75,1130.5,596.5
AL092021,563.0,1171.25,915.5
AL092022,631.25,353.5,929.5
AL092023,13.25,35.25,9.0
AL092024,1641.75,1681.25,931.5
AL101942,0.0,0.875,26.25
AL101943,215.9375,36.625,0.625
AL101944,4.0,223.25,391.375
AL101945,2558.375,198.125,537.625
AL101947,0.0,40.625,2.25
AL101948,0.0,0.0,0.0
AL101949,1465.625,1900.375,2657.375
AL101950,220.0,152.625,0.0
AL101951,762.25,861.375,1215.875
AL101952,1584.875,1777.0,1089.5
AL101953,1391.75,945.5,1539.25
AL101954,0.5,0.0,89.75
AL101955,1158.5,945.0,651.0
AL101956,1684.0,1587.75,1222.875
AL101958,2.75,385.5,475.0
AL101959,0.125,1.75,0.0
AL101961,0.0,0.0,0.0
AL101963,0.0,0.0,0.0
AL101964,0.0,0.0,0.0
AL101965,0.0,0.0,0.0
AL101966,1008.25,648.625,1338.625
AL101968,1312.5,1198.0,1874.875
AL101970,147.375,0.25,953.5
AL101971,0.0,1.625,2.75
AL101972,25.75,5.5,206.0
AL101973,0.0,7.5,17.25
AL101974,191.875,1392.75,1304.5
AL101975,117.5,346.625,1293.25
AL101976,1904.75,798.5,548.0
AL101977,4.625,15.125,2.0
AL101978,0.0,0.0,0.0
AL101979,562.5,260.25,759.25
AL101980,943.75,775.375,17.625
AL101981,518.5,150.0,282.25
AL101984,0.0,190.25,206.5
AL101985,35.25,59.125,5.5
AL101986,0.0,0.0,0.0
AL101987,478.25,841.375,1327.0
AL101988,462.125,446.125,468.75
AL101989,507.0,482.5,1079.25
AL101990,118.25,396.0,516.75
AL101991,1035.375,2416.75,1456.25
AL101992,3.5,1.75,267.5
AL101993,12.75,21.25,61.0
AL101994,1558.5,1965.75,1404.0
AL101995,639.0,1049.25,1320.75
AL101996,654.5,44.625,0.0
AL101998,283.0,365.0,507.875
AL101999,0.0,4.25,9.75
AL102000,1.0,0.0,0.125
AL102001,0.0,0.0,0.0
AL102002,308.0,604.75,571.25
AL102003,856.0,561.875,1506.0
AL102004,12.75,5.0,2.25
AL102005,555.0,398.5,592.25
AL102006,0.0,0.0,0.0
AL102007,0.0,0.5,0.125
AL102008,967.25,533.5,361.75
AL102009,2626.75,3294.5,2683.25
