code,nao
AL081945,1.4
AL081947,-0.51
AL081948,0.82
AL081949,-1.81
AL081950,0.78
AL081951,-0.22
AL081952,-3.02
AL081953,0.75
AL081954,2.49
AL081955,0.82
AL081956,1.23
AL081957,1.07
AL081958,-0.23
AL081959,-1.81
AL081960,0.24
AL081961,1.0
AL081963,2.79
AL081964,0.5
AL081965,-1.01
AL081966,-0.47
AL081968,0.5
AL081969,-1.62
AL081970,-0.2
AL081971,0.07
AL081972,0.11
AL081973,2.32
AL081974,0.89
AL081975,0.08
AL081976,0.62
AL081977,1.64
AL081978,0.05
AL081979,2.53
AL081980,0.3
AL081981,1.74
AL081982,1.08
AL081984,1.0
AL081985,0.0
AL081986,-1.34
AL081987,1.27
AL081988,0.8
AL081989,1.76
AL081990,3.31
AL081991,-1.12
AL081992,0.99
AL081993,-2.6
AL081994,-2.85
AL081995,-1.33
AL081996,-2.23
AL081997,-2.26
AL081998,-3.48
AL081999,-0.51
AL082000,-1.1
AL082001,-3.83
AL082002,-3.58
AL082003,-0.99
AL082004,-0.76
AL082005,0.94
AL082006,-1.02
AL082007,-1.18
AL082008,-0.21
AL082009,-0.63
AL082010,-2.01
AL082011,-2.41
AL082012,-0.44
AL082013,-0.57
AL082014,0.31
AL082015,-1.65
AL082016,2.14
AL082017,-0.04
AL082018,0.45
AL082019,-0.32
AL082020,-1.23
AL082021,-2.44
AL082022,-3.73
AL082023,-1.75
AL091863,2.46
AL091867,0.73
AL091869,-0.79
AL091870,1.3
AL091878,-1.44
AL091880,-3.2
AL091886,-0.34
AL091887,-2.56
AL091888,2.7
AL091889,-1.23
AL091891,-0.46
AL091892,-3.68
AL091893,-0.97
AL091898,-1.15
AL091899,-0.12
AL091901,-0.09
AL091903,-0.55
AL091906,0.4
AL091908,0.24
AL091909,-1.29
AL091916,-2.59
AL091923,1.34
AL091924,0.5
AL091926,-4.16
AL091931,-0.11
AL091932,-0.93
AL091933,2.65
AL091934,2.5
AL091936,2.67
AL091937,-0.17
AL091938,3.24
AL091940,-1.89
AL091942,-0.21
AL091943,0.45
AL091944,0.36
AL091945,1.4
AL091947,-0.51
AL091948,0.43
AL091949,-1.81
AL091950,0.78
AL091951,-0.22
